"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
4,15,1,0,1,1,1,1,-2090.2625406894,19.606084851276
4,16,1,0,2,1,1,1,-263.507664245667,68.9225772289672
4,17,1,0,1,1,1,1,-487.917752969407,59.3249611504065
4,18,1,0,1,1,1,1,-1906.8090973726,22.2646315743957
4,19,2,0,1,1,1,1,-879.941243420561,45.0525216252635
4,20,1,0,1,1,1,1,-1202.67390283761,36.3621041800371
4,21,1,0,1,1,1,1,-925.721324471232,43.9687416915863
4,22,1,0,1,1,1,1,-1818.99941341889,23.6428954741597
4,23,1,0,1,2,1,1,-441.474157181351,60.9243601383141
4,24,1,0,1,1,1,1,-1559.9711098566,28.2154323296386
4,25,1,0,1,2,1,1,-1811.06134059152,23.8168177327721
4,26,1,0,1,1,1,1,-1103.70477606326,38.6538713277778
4,27,1,0,1,1,1,1,18.0807882822382,84.2784852801447
4,28,1,0,1,2,1,1,-1870.0026259628,22.8162240428205
4,29,1,0,1,2,1,1,-1473.62405386203,30.2174989809671
4,30,1,0,1,1,1,1,-897.02306772973,44.5389067681589
4,31,2,0,1,1,1,1,-1424.08625061519,30.9820524094792
4,32,1,0,1,1,1,1,-977.842670049493,42.2741358630613
4,33,1,0,1,2,1,1,-1669.07350171467,26.1707359046845
4,34,1,0,1,2,1,1,-74.322157032726,78.4248549697721
4,35,1,0,1,1,1,1,-1506.98052640195,29.4157833816809
4,36,2,0,1,1,1,1,-1742.7976078272,25.0184181075741
4,37,1,0,1,1,1,1,-465.770584592789,60.3691342424395
4,38,1,0,1,2,1,1,-1893.79569182576,22.4121263066749
4,39,1,0,1,1,1,1,-1049.0929765459,40.1373716926293
4,40,1,0,1,1,1,2,-328.070898195105,65.8349738392299
4,41,1,0,1,1,1,1,-81.1845941586189,78.1278671135496
4,42,1,0,1,1,1,2,-775.084443762326,48.708974229836
4,43,1,0,1,1,1,1,-1112.77211094722,38.3675795528363
4,44,1,0,1,1,1,2,-460.350364263141,60.1035450954194
4,45,1,0,1,1,1,1,-1794.83189637677,24.1644643213067
4,46,1,0,1,1,1,1,-1358.19210050197,32.4649234195912
4,47,1,0,1,1,1,1,8.94957786350733,83.6157605460007
4,48,1,0,1,1,1,1,-1153.97903688545,37.3554243505689
4,49,1,0,1,1,1,1,-400.554161199501,62.6534436543866
4,50,2,0,1,1,1,1,-1541.13666406932,28.7702910495227
5,1,1,0,1,2,1,1,479.369036439497,114.583065667095
5,2,1,0,1,1,1,1,-931.670758104513,43.5382665126326
5,3,1,0,1,1,1,1,-222.056303096488,71.4054792500364
5,4,1,0,1,1,1,2,609.370421982062,125.480608054721
5,5,1,0,1,1,1,1,789.972600084459,142.085513258584
5,6,1,0,1,1,1,1,-779.415205503825,48.6140334452434
5,7,1,0,1,1,1,1,-989.626286110161,41.8157424258701
5,8,1,0,1,1,1,1,-1278.02586105448,34.2860912317191
5,9,1,0,2,1,1,1,-690.366751776109,51.3136707865771
5,10,1,0,2,1,1,1,-1280.03400666172,34.2187317324503
5,11,1,0,1,1,1,1,-1123.69334353348,38.1303060205262
5,12,1,0,1,1,1,1,-1214.26130703887,35.7933951128647
5,13,1,0,2,1,1,1,-1447.941177842,30.5831952492511
5,14,2,0,1,1,1,1,-882.351695819557,44.9355483252705
5,15,1,0,1,1,1,1,-1422.2288258455,31.0582736090139
5,16,1,0,1,2,1,1,176.166525888269,93.1799981229209
5,17,1,0,1,1,1,2,-1.58574368621976,82.8923761159619
5,18,1,0,1,1,1,1,-1386.6920993244,32.0538199412528
5,19,1,0,1,2,1,1,-407.326027172971,62.8081964950346
5,20,1,0,2,1,1,1,-614.348778087088,54.0716655876262
5,21,1,0,1,2,1,1,-451.390605840281,60.5113872699741
5,22,1,0,1,1,1,1,-1407.73662875249,31.495689058384
5,23,1,0,1,2,1,1,49.0926070369051,85.3247180894033
5,24,1,0,1,1,1,1,-1076.47722784429,39.6338986098313
5,25,1,0,1,1,1,1,-1297.79002756493,34.074694218343
5,26,1,0,2,1,1,1,-539.8155655771,57.0111803570894
5,27,1,0,1,1,1,1,510.317035412874,117.335667257057
5,28,1,0,1,2,1,1,-1524.34631635969,28.9082320522488
5,29,1,0,1,2,1,1,-1076.77577522808,39.373193971384
5,30,1,0,1,1,1,1,-321.289040684846,66.6610369384365
5,31,1,0,1,2,1,1,-982.855163770988,41.9730982330425
5,32,1,0,1,1,1,2,-522.32979594605,57.5893798193804
5,33,1,0,1,1,1,1,-1111.72755747692,38.723929831672
5,34,1,0,1,1,1,1,238.123841482368,97.8791428004853
5,35,1,0,1,1,1,1,-1150.21180909146,37.4459266108988
